City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Avarua,CK,2021-06-04 00:54:52,-21.2078,-159.775,78.85,78,22,12.66
68,Ventspils,LV,2021-06-04 00:54:52,57.3894,21.5606,55.33,88,0,0.0
69,Bluff,NZ,2021-06-04 00:54:53,-46.6,168.3333,49.8,76,17,13.15
70,Soyo,AO,2021-06-04 00:54:53,-6.1349,12.3689,76.57,90,6,6.58
71,Vaini,TO,2021-06-04 00:54:54,-21.2,-175.2,75.36,88,40,0.0
72,Grand Gaube,MU,2021-06-04 00:51:42,-20.0064,57.6608,73.8,74,13,21.81
73,Plouzane,FR,2021-06-04 00:52:20,48.3833,-4.6167,50.32,90,4,2.59
74,Arawa,PG,2021-06-04 00:54:54,-6.2132,155.5367,85.46,72,100,4.09
75,Bang Len,TH,2021-06-04 00:54:55,14.0219,100.1718,91.9,62,98,9.62
76,Martinsicuro,IT,2021-06-04 00:54:55,42.8811,13.9145,63.99,62,2,3.85
77,Adrar,MR,2021-06-04 00:54:56,20.5022,-10.0711,87.48,26,72,25.3
78,Sao Joao Da Barra,BR,2021-06-04 00:54:56,-21.6403,-41.0511,72.68,87,2,3.31
79,Leningradskiy,RU,2021-06-04 00:54:56,69.3833,178.4167,32.04,82,22,7.87
80,Lookan,PH,2021-06-04 00:54:57,5.037,120.1027,84.31,76,100,7.96
81,Saint George,US,2021-06-04 00:54:57,37.1041,-113.5841,104.47,10,1,4.0
82,Yagoua,CM,2021-06-04 00:54:57,10.3411,15.2329,88.36,38,8,7.56
83,Nanortalik,GL,2021-06-04 00:54:58,60.1432,-45.2371,35.33,84,52,13.31
84,Port Elizabeth,ZA,2021-06-04 00:50:45,-33.918,25.5701,46.69,87,0,8.05
85,Mouila,GA,2021-06-04 00:54:58,-1.8685,11.0559,72.9,95,31,0.56
86,Manokwari,ID,2021-06-04 00:54:59,-0.8667,134.0833,78.49,84,100,5.32
87,Nabire,ID,2021-06-04 00:54:59,-3.3667,135.4833,81.1,82,92,2.73
88,Castro,BR,2021-06-04 00:54:59,-24.7911,-50.0119,58.77,91,72,2.59
