City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Grand-Santi,GF,4.25,-54.3833,75.18,93,98,3.94,light rain
80,Marzuq,YE,14.4,46.4667,81.9,34,29,4.7,scattered clouds
81,Moroni,KM,-11.7022,43.2551,76.96,75,73,16.08,broken clouds
82,Saldanha,ZA,-33.0117,17.9442,57.25,39,3,23.87,clear sky
83,Ahipara,NZ,-35.1667,173.1667,59.49,89,100,11.77,light rain
84,Mocuba,MZ,-16.8392,36.9856,61.9,96,91,3.65,overcast clouds
85,Hirara,JP,24.8,125.2833,79.07,94,75,1.14,broken clouds
86,Hualmay,PE,-11.0964,-77.6139,66.81,76,36,10.96,scattered clouds
87,Rikitea,PF,-23.1203,-134.9692,76.64,84,98,15.88,overcast clouds
88,Kieta,PG,-6.2167,155.6333,81.21,82,97,4.59,light rain
89,Chokurdakh,RU,70.6333,147.9167,38.05,71,99,6.13,overcast clouds
90,Lakes Entrance,AU,-37.8811,147.981,51.19,69,100,10.2,overcast clouds
91,Avarua,CK,-21.2078,-159.775,78.85,57,75,3.44,broken clouds
92,Nome,US,64.5011,-165.4064,38.16,80,90,11.5,overcast clouds
93,Saint George,US,37.1041,-113.5841,102.67,10,1,8.99,clear sky
94,Xichang,CN,27.8964,102.2634,65.07,97,98,1.95,light rain
95,Tobol,KZ,52.6844,62.5794,59.61,39,48,0.45,scattered clouds
96,Mantua,IT,45.1667,10.7833,69.69,89,100,1.01,overcast clouds
97,Barrow,US,71.2906,-156.7887,30.22,93,90,13.8,mist
98,Nelson Bay,AU,-32.7167,152.15,47.68,90,20,5.86,few clouds
99,Carrollton,US,32.9537,-96.8903,90.59,59,75,3.0,broken clouds
100,Matamoros,MX,25.5333,-103.25,97.11,12,0,10.51,clear sky
101,Paris,FR,48.8534,2.3488,66.15,74,0,3.0,clear sky
102,Dikson,RU,73.5069,80.5464,29.41,90,100,11.92,overcast clouds
103,Beringovskiy,RU,63.05,179.3167,34.97,98,100,4.29,light rain
104,Isangel,VU,-19.55,169.2667,71.71,68,75,11.36,broken clouds
105,Nishihara,JP,26.1842,127.7558,74.86,94,75,7.16,moderate rain
106,Lilongwe,MW,-13.9669,33.7873,53.96,83,73,6.8,broken clouds
107,Sekoma,BW,-24.4,23.8833,49.28,51,0,11.12,clear sky
108,Kungurtug,RU,50.5994,97.5228,36.63,94,100,2.66,overcast clouds
109,Torbay,CA,47.6666,-52.7314,47.28,85,75,14.97,broken clouds
110,Acarau,BR,-2.8856,-40.12,78.17,85,34,9.69,scattered clouds
111,Clarksburg,US,39.2807,-80.3445,88.48,46,1,3.49,clear sky
112,Port-Gentil,GA,-0.7193,8.7815,80.56,89,90,10.36,overcast clouds
113,Canton,CN,23.1167,113.25,80.94,82,69,4.97,broken clouds
114,Qaanaaq,GL,77.484,-69.3632,40.42,79,53,5.48,broken clouds
115,Kodinsk,RU,58.6881,99.1844,43.88,86,62,3.76,light rain
116,Labrea,BR,-7.2586,-64.7981,75.85,96,97,2.82,heavy intensity rain
117,Kodiak,US,57.79,-152.4072,55.63,53,14,6.8,few clouds
118,Touros,BR,-5.1989,-35.4608,76.1,85,14,12.84,few clouds
119,Humaita,BR,-7.5061,-63.0208,80.38,76,99,3.2,light rain
120,Nikolskoye,RU,59.7035,30.7861,61.39,79,66,3.71,broken clouds
121,Port Keats,AU,-14.25,129.55,65.17,41,18,7.0,few clouds
122,Cherskiy,RU,68.75,161.3,66.52,37,100,19.84,overcast clouds
123,Chiredzi,ZW,-21.05,31.6667,59.67,84,94,5.55,light rain
124,Matai,TZ,-8.3,31.5167,60.24,96,16,7.78,few clouds
125,Barkot,IN,30.8167,78.2,65.39,72,46,4.61,scattered clouds
126,Bluff,NZ,-46.6,168.3333,49.8,85,66,9.24,broken clouds
127,Melfi,IT,40.9965,15.6514,66.49,70,49,6.82,scattered clouds
128,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,75,12.71,light rain
129,Nizhnevartovsk,RU,60.9344,76.5531,39.22,87,0,0.0,clear sky
130,Sadovoye,RU,47.7764,44.5089,61.02,82,100,7.7,overcast clouds
131,Channel-Port Aux Basques,CA,47.5702,-59.1367,50.67,66,8,12.44,clear sky
132,Tiksi,RU,71.6872,128.8694,44.6,62,100,1.45,overcast clouds
133,Sakhnovshchyna,UA,49.1517,35.872,53.37,95,14,6.51,few clouds
134,Belmonte,BR,-15.8631,-38.8828,77.5,87,12,6.82,few clouds
135,Tura,IN,25.5198,90.2201,71.69,98,80,7.45,heavy intensity rain
136,Bethel,US,41.3712,-73.414,92.48,49,1,9.22,clear sky
137,Tasiilaq,GL,65.6145,-37.6368,42.96,91,98,5.12,overcast clouds
138,Sept-Iles,CA,50.2001,-66.3821,59.52,65,75,1.01,broken clouds
139,Shar,KZ,49.5886,81.0453,49.42,85,1,2.51,clear sky
140,Fortuna,US,40.5982,-124.1573,71.19,53,1,5.01,clear sky
141,Carnarvon,AU,-24.8667,113.6333,60.87,72,90,6.91,overcast clouds
142,Klyuchi,RU,52.2667,79.1667,58.03,51,0,0.67,clear sky
143,Zyryanskoye,RU,56.8306,86.6258,54.32,97,100,9.24,overcast clouds
144,Otjimbingwe,NA,-22.35,16.1333,59.85,36,0,7.74,clear sky
145,Mahebourg,MU,-20.4081,57.7,75.49,83,75,10.36,light rain
146,Mitsamiouli,KM,-11.3847,43.2844,78.71,69,47,15.46,scattered clouds
147,Skibbereen,IE,51.55,-9.2667,49.8,79,99,4.47,overcast clouds
148,Krasnoselkup,RU,65.7,82.4667,32.77,80,41,7.02,scattered clouds
149,Sinnamary,GF,5.3833,-52.95,76.06,89,100,7.58,overcast clouds
150,Vagur,FO,61.4732,-6.8119,48.76,97,100,16.98,overcast clouds
151,Provideniya,RU,64.3833,-173.3,44.71,61,75,6.71,broken clouds
152,Kudahuvadhoo,MV,2.6708,72.8944,82.72,75,52,14.25,broken clouds
153,Aripuana,BR,-9.1667,-60.6333,80.35,68,100,0.51,overcast clouds
154,Teya,RU,60.3778,92.6267,42.75,97,100,2.44,light rain
155,Port Macquarie,AU,-31.4333,152.9167,46.38,65,4,4.88,clear sky
156,Portland,US,45.5234,-122.6762,63.9,58,90,1.99,overcast clouds
157,Sobolevo,RU,54.4299,31.8996,54.86,92,55,6.26,broken clouds
158,Egham,GB,51.4316,-0.5524,64.42,83,10,8.05,clear sky
159,Olinda,BR,-8.0089,-34.8553,78.53,69,40,11.56,scattered clouds
160,Chuy,UY,-33.6971,-53.4616,50.77,79,98,5.32,overcast clouds
161,Atasu,KZ,48.6814,71.6433,55.27,38,73,9.89,broken clouds
162,Maiduguri,NG,11.8464,13.1603,90.34,38,61,7.29,broken clouds
163,Dyurtyuli,RU,55.4911,54.8688,55.51,65,0,2.42,clear sky
164,Bilibino,RU,68.0546,166.4372,65.35,43,6,5.82,clear sky
165,Watertown,US,42.3709,-71.1828,93.52,41,1,4.0,clear sky
166,Pachora,IN,20.6667,75.35,85.1,62,71,6.02,broken clouds
167,Minna,NG,9.6139,6.5569,78.57,77,95,7.49,overcast clouds
168,Port Hardy,CA,50.6996,-127.4199,55.58,71,75,14.97,broken clouds
169,Cabedelo,BR,-6.9811,-34.8339,77.67,86,37,13.0,scattered clouds
170,Olga,RU,43.7444,135.2892,60.62,71,0,4.7,clear sky
171,Kamenka,RU,51.3223,42.7678,54.45,93,55,6.93,broken clouds
172,Lebu,CL,-37.6167,-73.65,49.46,77,96,3.38,overcast clouds
173,Fort Nelson,CA,58.8053,-122.7002,56.79,67,75,2.3,broken clouds
174,Ponta Do Sol,PT,32.6667,-17.1,66.83,75,3,4.79,clear sky
175,Korampallam,IN,8.7667,78.1,82.42,70,98,5.5,overcast clouds
176,Port Alfred,ZA,-33.5906,26.891,64.6,35,0,8.68,clear sky
177,Komagane,JP,35.7296,137.9396,63.77,78,100,3.62,overcast clouds
178,Ust-Tsilma,RU,65.441,52.1498,36.05,67,8,6.06,clear sky
179,Saint-Georges,GD,12.0564,-61.7485,83.88,74,20,17.27,few clouds
180,Uryupinsk,RU,50.8047,42.0138,55.08,92,47,6.13,scattered clouds
181,Elizabeth City,US,36.2946,-76.2511,91.0,67,1,10.36,clear sky
182,Upernavik,GL,72.7868,-56.1549,37.89,84,70,3.83,broken clouds
183,Banjar,ID,-8.19,114.9675,76.86,88,15,4.5,few clouds
184,Bowen,AU,-20.0167,148.2333,64.62,77,86,10.76,overcast clouds
185,Luderitz,NA,-26.6481,15.1594,69.28,31,0,9.31,clear sky
186,Yerbogachen,RU,61.2767,108.0108,41.25,59,2,10.89,clear sky
187,Ponta Delgada,PT,37.7333,-25.6667,65.12,88,20,5.75,few clouds
188,Lorengau,PG,-2.0226,147.2712,81.77,74,92,5.61,overcast clouds
189,Dangriga,BZ,16.9692,-88.2321,87.76,74,33,12.48,scattered clouds
190,Khorramshahr,IR,30.4397,48.1664,100.36,16,0,11.5,clear sky
191,Kandi,BJ,11.1342,2.9386,81.64,60,93,3.56,light rain
192,Chumikan,RU,54.7183,135.315,39.43,87,97,2.84,overcast clouds
193,Lavrentiya,RU,65.5833,-171.0,34.61,92,100,3.6,light rain
194,Yarada,IN,17.65,83.2667,84.52,84,20,13.04,few clouds
195,Poum,NC,-20.2333,164.0167,72.52,60,77,14.81,broken clouds
196,Knysna,ZA,-34.0363,23.0471,77.38,25,3,10.4,clear sky
