City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
271,Sur,OM,83.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
273,Mayumba,GA,75.52,overcast clouds,-3.432,10.6554,LIKWALE LODGE
279,Alor Setar,MY,76.98,few clouds,6.121,100.3601,Starcity Hotel
280,Carauari,BR,76.86,overcast clouds,-4.8828,-66.8958,Hotel Fellip
281,Sabla,NG,81.43,overcast clouds,12.7525,4.7077, 
286,Mitu,CO,76.93,overcast clouds,1.1983,-70.1733, 
287,Souris,CA,77.74,clear sky,49.6172,-100.2612,The Souris Hotel
288,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
295,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
296,Victoria,HK,82.45,scattered clouds,22.2855,114.1577,Mini Hotel Central
303,Ixtapa,MX,87.03,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
305,Puerto Leguizamo,CO,77.32,overcast clouds,-0.1934,-74.7819,la casona de juancho
307,Hidalgo,MX,79.47,overcast clouds,20.5,-99.0, 
313,Taganak,PH,77.14,overcast clouds,6.0833,118.3,Taganak
315,Murgab,TM,82.27,clear sky,37.4966,61.9714, 
317,Camapua,BR,76.73,few clouds,-19.5314,-54.0439,Comercial Estrela
321,Omboue,GA,76.17,broken clouds,-1.5746,9.2618,Hotel Olako
323,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
324,Bambanglipuro,ID,75.67,few clouds,-7.95,110.2833,Puri Brata
325,Kavieng,PG,82.29,light rain,-2.5744,150.7967,Nusa Island Retreat
326,Port Blair,IN,83.88,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
327,Steamboat Springs,US,87.73,clear sky,40.485,-106.8317,Steamboat Grand
333,Biltine,TD,89.65,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
334,Balabac,PH,82.53,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
338,Gigmoto,PH,80.82,light rain,13.7796,124.39,Cj's Travellers Inn
341,Qui Nhon,VN,80.67,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
342,Shelburne,CA,88.29,few clouds,44.0787,-80.2041,The Retreat at the Farm
345,Vanimo,PG,78.01,very heavy rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
355,Odweyne,SO,75.22,clear sky,9.4092,45.06399999999999,Eng Hiirey House
356,Ugoofaaru,MV,82.49,overcast clouds,5.6667,73.0,Ungoofaaru Inn
359,Itoman,JP,75.58,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
362,Ambon,ID,75.34,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
365,Lincoln,US,85.86,few clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
368,Faanui,PF,81.03,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
371,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
373,Umm Lajj,SA,82.78,clear sky,25.0213,37.2685,Moon light Furnished Units
378,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
383,Gazojak,TM,87.35,few clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
384,Salaga,GH,76.8,light rain,8.5508,-0.5188,Bore Nada Guest House
387,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
389,Aswan,EG,85.21,clear sky,24.0934,32.907,Nuba Nile
391,Pyapon,MM,82.63,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
393,Valentin Gomez Farias,MX,89.69,broken clouds,28.2167,-106.5833, 
396,Nantucket,US,84.31,clear sky,41.2835,-70.0995,Jared Coffin House
400,Pacific Grove,US,81.45,clear sky,36.6177,-121.9166,Lovers Point Inn
401,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
